"ToxPi Score","HClust Group","KMeans Group","Name","Source","DemographicsAge!1/28!0x0072b2ff","DemographicsFemaleLed!1/28!0x0066a0ff","DemographicsImmigration!1/28!0x004f7cff","DemographicsDisability!1/28!0x00446aff","DemographicsSingleParent!1/28!0x003858ff","DemographicsMobility!1/28!0x002d47ff","DemographicsLiveAlone!1/28!0x002235ff","Economic IndicatorsIncomePoverty!1/24!0x009e73ff","Economic IndicatorsServiceManualJobs!1/24!0x008e67ff","Economic IndicatorsGini!1/24!0x007e5cff","Economic IndicatorsEmployment!1/24!0x006e50ff","Economic IndicatorsEducation!1/24!0x005e45ff","Economic IndicatorsVehicleAvail!1/24!0x004f39ff","Residential DensityPopDensity!1/28!0xe69f00ff","Residential DensityGroupQuarters!1/28!0xcf8f00ff","Residential DensityOccPerRoom!1/28!0xb87f00ff","Residential DensityStrAge!1/28!0xa16f00ff","Residential DensityStrAttached!1/28!0x8a5f00ff","Residential DensityMove1Yr!1/28!0x734f00ff","Residential DensityVacancy!1/28!0x5c3f00ff","Health StatusLifestyle!1/16!0xcc79a7ff","Health StatusCondition!1/16!0xb76c96ff","Health StatusPreventive!1/16!0xa36085ff","Health StatusLackInsurance!1/16!0x8e5474ff"
"0.3969714991893859","1","1","","11231","0.554351049179882","0.39486731158881605","0.27935330600419933","0.3316218446002971","0.4344349262541534","0.2692928795902168","0.37317099270726867","0.2361922947535085","0.5859093831791322","0.4514143607145363","0.2609304860838537","0.5441406460145041","0.28565211524017403","0.048941179543348916","0.2253589546920925","0.9540372152067889","0.978592610230095","0.3332225913127791","0.15700265790485335","0.5693875462142156","0.4306018394756315","0.4270154417109856","0.33524554303251214","0.20901588737542373"
"0.39232475094957736","1","1","","11415","0.5660891587895929","0.13556364401553658","0.40593260307198586","0.4569008287342698","0.20795083231503972","0.21758452488421706","0.5811853345865383","0.28685317962363466","0.4104224396773391","0.21532023494822342","0.17792311017269383","0.35487355641784185","0.24161560066204468","0.021662767581756337","0.31934046170445546","0.8671255830126016","0.9005339821974635","0.493827660874026","0.22677585447892154","0.7872062115704146","0.38981075600564835","0.5072855661623955","0.4121805828771143","0.30743020182299646"
"0.39217490155086515","1","1","","11238","0.38067927902551246","0.19198133241872398","0.2741652139839935","0.3604968899015741","0.38144792498699276","0.3299599963786871","0.4926652201932674","0.20780095960557224","0.5376320051902226","0.3279025030198712","0.2092586456744316","0.7062259356164751","0.40031292546251024","0.14652910399312974","0.11090894790804438","0.9568144939013501","0.9859096677085115","0.4842150947344471","0.13445927879051955","0.684405531298138","0.43937460937241185","0.415239971474191","0.28793237755459694","0.15970302133445827"
"0.38603206495557507","1","1","","11217","0.3616074735810408","0.19811270567657868","0.3104468430624513","0.3761776927610404","0.30185487879037776","0.2811843718693843","0.4895040353249751","0.19944219725552534","0.7001370587926041","0.3396641981416489","0.21150382703094692","0.7141166231913553","0.34754620352590954","0.0904630665438419","0.20173069450826406","0.7909064666745138","0.9830636763052041","0.5526714528787415","0.20571082294752477","0.5802164451443772","0.3944259250916263","0.36963630185575924","0.30349951203837516","0.16335372773431356"
"0.38580014969008847","1","1","","10023","0.5725051157590739","0.08428288976914644","0.3935492975576855","0.3151212430816096","0.16940223696065754","0.3719907829665092","0.8693895646440115","0.07485593497961474","0.9332199075819885","0.2251054743912578","0.033798997675391323","0.7518082815668584","0.7362771378939683","0.1969670926090748","0.08556295418913268","0.7373281098238221","0.9869590238529395","0.6348888710637125","0.3923128739452196","0.49624638446833663","0.2405138019250066","0.3936425612887299","0.06949425614718628","0.028723320178669878"
"0.38534159546492763","1","1","","11365","0.5747472569955077","0.27521695246223715","0.5060185370326887","0.3378391335757951","0.27666018851954244","0.28191033765923224","0.27376692671916086","0.35813237597619507","0.3515350947420751","0.4448699055398795","0.3113697413141694","0.12932764014700066","0.1650719516431995","0.011331755604607238","0.2195974881807209","0.804167817215036","0.7762225285822157","0.24017294541776832","0.05789819251528456","0.7922912265169572","0.44212632207341646","0.5682171617438146","0.5329071263383569","0.3470535184719991"
"0.3847705575613455","1","1","","11429","0.5326571732952028","0.352006936765017","0.3855629632884411","0.3733705945914513","0.5075566675353592","0.16492019858248425","0.10136962950042448","0.3903004152486743","0.08493949383453116","0.7177892082619967","0.361234064379013","0.08524707680605924","0.12314567070387258","0.03305724555761657","0.23892274809833472","0.9414542901826972","0.37439883922217854","0.1564559757139332","0.05947819603116367","0.7124776381295639","0.6539760862470959","0.7194487283533285","0.37655650784374894","0.41199273343237874"
"0.38320415331965274","1","1","","10024","0.5991154485307805","0.07996237418845409","0.2860254728613257","0.3289127066490535","0.15904882345049123","0.3847068363683885","0.6800394919380459","0.08748606453439653","0.9580328963874531","0.1913209100349472","0.09334940504937644","0.7240664964285083","0.6790088565115833","0.10366564731151559","0.10488756117163288","0.9847880192241683","0.9820432096164914","0.6458580475877594","0.35792068420291595","0.4505785891525451","0.24591321955247245","0.44771049344167213","0.06274619974695345","0.039832742645224455"
"0.382842354642196","1","1","","11209","0.563950059966433","0.12024769151047367","0.37727831656967","0.426708346164823","0.18752939099883173","0.20935605534671095","0.5162807888848029","0.2790486879907539","0.4112073334076517","0.2976502599918696","0.2574313592922911","0.3694539942141356","0.2658490485724653","0.02822925749975673","0.2451498374790341","0.9574266510304696","0.9386460814102077","0.35482496246775314","0.23281967157156713","0.7449560488100843","0.41166744315602544","0.5099717210475503","0.3869265517099082","0.18977826859518646"
"0.38222123225038646","1","1","","10128","0.5090830281728692","0.12793671610066162","0.3209932947754434","0.3015018379585331","0.23918777792572266","0.4506681422868559","0.6556318685948318","0.06980514923961365","0.6969894788134163","0.2086138626367815","0.05627504621293305","0.7536348182239647","0.9904122456101785","0.0738718419056278","0.11045258639721216","0.674904974310089","0.9922018218081384","0.7383883227175491","0.26162920176929677","0.5753726147804247","0.2862580118253636","0.35860428496651353","0.12499916953850668","0.0484345942302986"
"0.3814554244855696","1","1","","10305","0.6035061146243641","0.19340298820139998","0.34066174750115796","0.4792625592135269","0.29544836740057123","0.14362131200772074","0.279869689460512","0.3785631239681763","0.3352291282504292","0.32371743489315324","0.344057003316932","0.11859959334303709","0.07347049226020001","0.13223994529660385","0.20541676826373975","0.5638298687760611","0.7373076025328351","0.13201303842553144","0.18498928164957507","0.761489199379607","0.7574983856452722","0.672417329423522","0.46279343155083397","0.2740244709949388"
"0.38096545592605324","1","1","","10010","0.2705900096947321","0.039272150944728884","0.30424669175622576","0.22634838976342356","0.14205043307936613","0.3933491403781864","0.8395082870441343","0.11393753053484752","0.7276528069264181","0.22522533224517644","0.053512796114823576","0.7988865645713512","0.7209111121394524","0.4051135183741762","0.1155970146949115","0.7212205049926862","0.9713335282218434","0.7374916123422259","0.22983452154588066","0.5183759758399845","0.33191467384180035","0.3159085349890957","0.23927130830885382","0.06865052341428983"
"0.37767212870039796","1","1","","11412","0.5500460926210897","0.546896002211443","0.32841657549800435","0.40258387973948145","0.6655572547718183","0.1072879155142787","0.17584490377507234","0.4121865905206265","0.2211369287696065","0.36780141433663877","0.27545803372362415","0.13782357491048564","0.13797755395564934","0.015293242682524176","0.16770722354912365","0.924509614455503","0.42815503325112725","0.025749566884935116","0.10974193605675808","0.7410332513773431","0.651250419573344","0.7121835484132294","0.31722529401788563","0.36213064216881935"
