GEOID,prop_age_under18,prop_age_65plus,female_led_hh_prop,eng_lim_prop,usentry_2010_prop,forborn_prop,uscitizen_no_prop,disability_prop,single_parent_prop,publictrans_taxi_mcycle_bike_walk_prop,travel_time_work_minute,prop_living_alone,income1yr_median,poverty1yr_prop,service_manual_prop,gini_index,unemployment_prop,education_less_hs_prop,vehicle_avail_no_prop,pop_density,group_quarters_prop,occ_room_1_01plus_prop,age_structure_2019,str_units_1att_2plus_mobile_boat_rv_van_prop,str_units_20plus,move1yr_prop,str_vacancy_prop,pop,nmiss,flag_pop_lt20,flag_missing_var
36061031900,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36061000100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047118000,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047040700,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36005017100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047085200,0.385,0,0,0,,0,0,0,0,0.6875,,0,,0,0,,0,0,0,170.17434704152,0,0,,0,0,0.230769230769231,0,26,5,0,1
36081038302,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047096000,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081024600,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047015400,0,0,0,0,,0,0,0,,,,1,,1,,,1,0,,30.8686038239756,0,0,,1,0,0,0,11,9,1,1
36081060701,0,0,0,0,,0,0,0,,1,,1,,0,1,,0,0,0,50.8560911096805,0,0,,1,0,0,0,14,6,1,1
36005016300,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36005031900,0.008,0.098,,0.00789889415481833,0.518518518518519,0.042654028436019,0.042654028436019,0.049,,0.648148148148148,2930,,,0.763888888888889,0.477477477477478,,0.139072847682119,0.0595238095238095,,7690.86866735422,1,,,,,,,633,12,0,1
36061024000,0.024,0.065,,0.0607267297162768,0.0731132075471698,0.175211548033848,0.0786460925833748,0.346,,0.984848484848485,,,,0.799585348997927,0.761363636363636,,0.385012919896641,0.44385593220339,,2382.53010215638,1,,,,,,,2009,13,0,1
36047066600,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36061009400,0,0.07,0,0,0.378378378378378,0.52112676056338,0.253521126760563,0,,0.818181818181818,1135,0.648148148148148,150893,0,0.181818181818182,0.3046,0,0,1,1203.82546991437,0,0,73,1,0.924242424242424,0.0704225352112676,0.181818181818182,71,1,0,1
36085002700,0.184,0.22,0.128329297820823,0.116696588868941,0.173841059602649,0.325528269560251,0.115933752141633,0.136,0.329824561403509,0.467948717948718,21350,0.307506053268765,,0.381288614298323,0.448717948717949,0.511,0.036319612590799,0.301016419077404,0.316239316239316,18114.3369939658,0.372358652198744,0.106537530266344,80,0.863813229571985,0.0466926070038911,0.0752089136490251,0.196498054474708,1751,1,0,1
36061021703,0,0,0,0,,0,0,0,,1,,0,,0,0.454545454545455,,0,0,0,90.7716717590159,0,0,,0,0,0,0,11,6,1,1
36081138502,0,0.41,,0,0,0.205128205128205,0,0.41,,0,,,,0.615384615384615,0,,0,0.516129032258065,,42.8949289398776,1,,,,,,,39,13,0,1
36061011300,0,0.347,0,0,0.405405405405405,0.377551020408163,0.204081632653061,0.235,,1,920,0.905660377358491,95313,0.5,0.196078431372549,0.3829,0.0555555555555556,0.10989010989011,1,1445.00142217554,0.418367346938776,0,17,1,0.793103448275862,0.315789473684211,0.390804597701149,98,1,0,1
36081005000,0.184,0,0,0,0,0.204081632653061,0,0.388,1,0.333333333333333,,0.354838709677419,,0.387755102040816,0.3,0.2694,0,0.525,1,808.041726016503,0,0,44,1,0,0.387755102040816,0,49,2,0,1
36005024900,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
